ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
0.561832472062106,0.320077796309571,0.444270540784717,0.486972538773443,0.634365748798209,0.591000509719013,0.54794153802226,0.378533582350621,0.384752994031415,0
0.465023203972261,0.525650439316597,0.424448565965179,0.560121158069048,0.683524547252066,0.263249309236798,0.59796739283029,0.455961661526218,0.3838237464123,1
0.533545712610896,0.534731747618012,0.365589454700289,0.572457996537381,0.58241356146514,0.599379618054973,0.485191902465292,0.572344334100365,0.342223701904123,0
0.491723724344431,0.59730815531223,0.280543949891431,0.533503353316124,0.643946478075026,0.146600048493526,0.608607815340441,0.489400400868534,0.378637439814614,1
0.424168774071086,0.522559673370759,0.160274871537858,0.681370438093287,0.558096253735001,0.450990203308268,0.412121595701239,0.566065862322763,0.686815030271623,0
0.449461099945842,0.458568111861466,0.588224381280073,0.356418868165965,0.697989962832329,0.558613618532324,0.630837243928989,0.820848744328873,0.514655119682074,1
0.663873435803946,0.345411319198495,0.263235955729479,0.542938034321501,0.532317223196373,0.404724811895392,0.542030758822261,0.863233320272781,0.580959964437719,1
0.558406308969167,0.576980719450712,0.41843511139766,0.50272170005109,0.602712651173591,0.38027196687983,0.700818620014942,0.142782318678522,0.511216362660705,0
0.524130659727494,0.433284326876291,0.310540740087002,0.723036026190237,0.56659562594294,0.294558086475674,0.434660321334894,0.350660026724842,0.297072772226216,0
0.511650973359635,0.509209790842168,0.478521921297151,0.54591842602976,0.499530318359923,0.178350720348965,0.50033244417148,0.502775743365375,0.64626735377938,1
0.415467004483522,0.356579302768315,0.29514929203149,0.396641473265686,0.677010785543881,0.452025934462034,0.570811406821564,0.466035599604039,0.519787575636574,0
0.713172916382949,0.243352893440253,0.200045283418649,0.610056493094219,0.552531651038695,0.437082311486398,0.450529318703814,0.724285162167316,0.73016083604474,1
0.592994007715304,0.618648579857164,0.420892245550227,0.284037621569458,0.592011935233072,0.498365625686202,0.60522649452499,0.488628385229871,0.448480793287263,0
0.370117440833016,0.847245860550925,0.623555831071138,0.99291130051785,0.145461048587676,0.34582897500937,0.334781221778375,0.402932345658938,0.590145949327327,1
0.50453231734716,0.5446172034566,0.453534577038301,0.545653170003279,0.546214040204622,0.514089050262512,0.539163747801164,0.351532639708629,0.652751413085626,1
0.674361294212043,0.515034653251295,0.155994796214041,0.390731779567603,0.676733112369744,0.543437849480555,0.43041277052637,0.408875893989454,0.46838561629966,0
0.421190730430211,0.624093511036252,0.210523053472563,0.403489008944459,0.673128082105981,0.546456237363085,0.542268211835767,0.561617461478595,0.335414924181366,1
0.508502143646888,0.426837496538193,0.312345662469806,0.37724176984421,0.609587083071241,0.301003022000807,0.714038765696852,0.43947952979776,0.82700218545111,0
0.496445057883712,0.471197162186938,0.360459705077242,0.515704304661577,0.657110343377677,0.825241086139869,0.56738005885353,0.660615113192459,0.585089187650883,1
0.486196151928362,0.76729167089057,0.435687593176527,0.350225624239862,0.577313884177789,0.736155492510104,0.535461113216016,0.372186297028049,0.508120230820974,1
0.484560646901077,0.332102615498429,0.370005350944855,0.557068623755182,0.701646507417365,0.450648767775446,0.501610579871543,0.543603668124624,0.429456159733414,0
0.292284310986611,0.31350301157277,0.359225478490695,0.160212375298305,0.49376333103071,0.408708839135206,0.559806253783167,0.516568369069364,0.423866600408234,0
0.539516549236844,0.670376914334682,0.247915423308811,0.417360265454785,0.693591220385435,0.389696456059995,0.333145334913527,0.66950057034286,0.195707729850499,1
0.554191820289181,0.445157194612909,0.610149914514618,0.408736668272871,0.449460244632228,0.151541519919717,0.490416767197213,0.574507820544372,0.406318503488729,1
0.335712798207214,0.299923049284319,0.354415270870139,0.421745806508805,0.681591841842254,0.262632885992049,0.52674167840601,0.419439090357754,0.434928890781575,0
0.382841693743314,0.743012199483875,0.369641242514048,0.594615408226203,0.621583715164642,0.486069450170807,0.455377027240626,0.445915107843662,0.540855291635101,1
0.426067338523135,0.5189900215295,0.286356576379943,0.426139117396857,0.673286093007862,0.440138486312903,0.557510077397511,0.552097036172709,0.565343483634469,0
0.418505836547075,0.464352289758277,0.505308116765127,0.38610874225927,0.593776715966162,0.414275775288158,0.623402179988646,0.519794075098419,0.612393485116233,1
0.467069343423087,0.388735332077885,0.545213792478572,0.380696070182303,0.51680404048389,0.583719781767134,0.63225785828035,0.593168716721606,0.455860429033388,0
0.569830816226019,0.501598620234194,0.519206657376151,0.775636492912367,0.482166035821647,0.217733586784087,0.30439696988556,0.555846039338934,0.442622584787022,1
0.420385657956476,0.543466883489594,0.264143240748183,0.52753790462804,0.507638972598095,0.417170028486237,0.484617213582747,0.387643444158453,0.590259801702353,1
0.489677085979649,0.461007170185881,0.492080512412256,0.496214659860029,0.627058706217958,0.385062182751141,0.712828077142627,0.239137719676329,0.352118342640845,0
0.540425216967753,0.20440947419745,0.596831614064746,0.325959078067591,0.743531369158033,0.473694151030729,0.665091508686143,0.643958767246511,0.492358822822121,0
0.557034448068382,0.468363113780241,0.567761485146031,0.307247150073377,0.544078667343236,0.359836568737665,0.712452666558419,0.332137727800549,0.594315164835877,0
0.568200696486302,0.567124594231239,0.654568086920018,0.585939867541572,0.347820572948964,0.564195014052311,0.683952952670369,0.560304087095523,0.367030165020539,1
0.604347492835667,0.646951863241824,0.509144262068021,0.548022055103325,0.682509400814683,0.418082230158898,0.567036040217663,0.559441867107116,0.46045636996123,0
0.531262013492316,0.56412233262285,0.606014490991238,0.577355817403784,0.672703691317214,0.445696428965687,0.659236172880795,0.446927721160322,0.448802633035338,1
0.447073845316824,0.697964771638654,0.705731858483948,0.452175174002457,0.47775826667115,0.427947047124173,0.554990648701385,0.401595085567735,0.534218601364313,0
0.67284392512402,0.825669586893654,0.38382825285658,0.330164009084829,0.669494657637069,0.687769950254267,0.461004927189329,0.463881861461681,0.344719963821123,1
0.528723953729214,0.487913578427618,0.297762746381106,0.632659513867626,0.618530878388845,0.117337904910052,0.553481408677993,0.647059289097447,0.569276370268452,0
